PLATFORM,ARGOS_ID,DATE (YYYY/MM/DD HH:MI:SS),LATITUDE (degree_north),LONGITUDE (degree_east),PRES (decibar),TEMP (degree_Celsius),PSAL (psu),QC,PARAMETER,STATION_PARAMETERS,VERTICAL_SAMPLING_SCHEME,CONFIG_MISSION_NUMBER
6903270,777923,2019/09/12 01:59:00,32.5003,33.8924,174.5,16.676,39.203,00111111,PRES,PRES,Primary sampling: averaged [10 sec sampling, 2 dbar average from surface to 100 dbar; 10 sec sampling, 10 dbar average from 100 dbar to 700 dbar; 10 sec sampling, 25 dbar average from 700 dbar to 350 dbar],1
6903270,777923,2019/09/12 01:59:00,32.5003,33.8924,184,16.563,39.191,00111111,PRES,PRES,Primary sampling: averaged [10 sec sampling, 2 dbar average from surface to 100 dbar; 10 sec sampling, 10 dbar average from 100 dbar to 700 dbar; 10 sec sampling, 25 dbar average from 700 dbar to 350 dbar],1
6903270,777923,2019/09/12 01:59:00,32.5003,33.8924,194.7,16.409,39.175,00111111,PRES,PRES,Primary sampling: averaged [10 sec sampling, 2 dbar average from surface to 100 dbar; 10 sec sampling, 10 dbar average from 100 dbar to 700 dbar; 10 sec sampling, 25 dbar average from 700 dbar to 350 dbar],1
6903270,777923,2019/09/12 01:59:00,32.5003,33.8924,204.6,16.241,39.153,00111111,PRES,PRES,Primary sampling: averaged [10 sec sampling, 2 dbar average from surface to 100 dbar; 10 sec sampling, 10 dbar average from 100 dbar to 700 dbar; 10 sec sampling, 25 dbar average from 700 dbar to 350 dbar],1
6903270,777923,2019/09/12 01:59:00,32.5003,33.8924,214,16.156,39.145,00111111,PRES,PRES,Primary sampling: averaged [10 sec sampling, 2 dbar average from surface to 100 dbar; 10 sec sampling, 10 dbar average from 100 dbar to 700 dbar; 10 sec sampling, 25 dbar average from 700 dbar to 350 dbar],1
6903270,777923,2019/09/12 01:59:00,32.5003,33.8924,224.4,16.054,39.138,00111111,PRES,PRES,Primary sampling: averaged [10 sec sampling, 2 dbar average from surface to 100 dbar; 10 sec sampling, 10 dbar average from 100 dbar to 700 dbar; 10 sec sampling, 25 dbar average from 700 dbar to 350 dbar],1
6903270,777923,2019/09/12 01:59:00,32.5003,33.8924,234.3,15.897,39.119,00111111,PRES,PRES,Primary sampling: averaged [10 sec sampling, 2 dbar average from surface to 100 dbar; 10 sec sampling, 10 dbar average from 100 dbar to 700 dbar; 10 sec sampling, 25 dbar average from 700 dbar to 350 dbar],1
6903270,777923,2019/09/12 01:59:00,32.5003,33.8924,244.2,15.748,39.095,00111111,PRES,PRES,Primary sampling: averaged [10 sec sampling, 2 dbar average from surface to 100 dbar; 10 sec sampling, 10 dbar average from 100 dbar to 700 dbar; 10 sec sampling, 25 dbar average from 700 dbar to 350 dbar],1
6903270,777923,2019/09/12 01:59:00,32.5003,33.8924,254.5,15.611,39.071,00111111,PRES,PRES,Primary sampling: averaged [10 sec sampling, 2 dbar average from surface to 100 dbar; 10 sec sampling, 10 dbar average from 100 dbar to 700 dbar; 10 sec sampling, 25 dbar average from 700 dbar to 350 dbar],1
6903270,777923,2019/09/12 01:59:00,32.5003,33.8924,264.6,15.468,39.053,00111111,PRES,PRES,Primary sampling: averaged [10 sec sampling, 2 dbar average from surface to 100 dbar; 10 sec sampling, 10 dbar average from 100 dbar to 700 dbar; 10 sec sampling, 25 dbar average from 700 dbar to 350 dbar],1
