Site,Age (Ma),Genus,d18O,d13C
846,3.7790,CIB,2.66,-0.08
849,3.7800,CIB,3.13,0.05
659,3.7820,CIB,2.48,
846,3.7830,CIB,2.85,-0.09
849,3.7840,CIB,3.06,0.15
846,3.7860,CIB,3.06,-0.37
659,3.7880,CIB,3.00,
849,3.7880,CIB,3.01,0.14
846,3.7900,CIB,3.16,-0.29
659,3.7910,CIB,3.22,
849,3.7920,CIB,3.03,0.07
659,3.7930,CIB,3.07,
846,3.7940,CIB,3.20,-0.14
849,3.7960,CIB,3.12,-0.02
846,3.7990,CIB,2.89,-0.25
849,3.8000,CIB,3.08,0.05
659,3.8030,CIB,3.23,
846,3.8030,CIB,2.88,-0.16
849,3.8040,CIB,3.04,0.18
846,3.8080,CIB,3.02,-0.29
849,3.8080,CIB,3.05,0.16
659,3.8090,CIB,3.11,
846,3.8110,CIB,2.99,-0.34
849,3.8120,CIB,3.10,0.02
659,3.8130,CIB,3.14,
846,3.8160,CIB,3.06,-0.31
849,3.8160,CIB,3.16,-0.11
659,3.8180,CIB,2.88,
846,3.8200,CIB,3.02,-0.45
849,3.8200,CIB,3.17,-0.16
659,3.8220,CIB,3.07,
846,3.8240,CIB,3.11,
849,3.8240,CIB,3.12,-0.20
659,3.8270,CIB,2.92,
846,3.8280,CIB,2.97,-0.46
849,3.8280,CIB,3.06,-0.29
659,3.8290,CIB,3.16,
849,3.8320,CIB,3.20,-0.40
846,3.8330,CIB,2.89,-0.36
659,3.8350,CIB,3.04,
849,3.8360,CIB,3.28,-0.39
846,3.8370,CIB,2.93,-0.35
659,3.8400,CIB,3.09,
849,3.8400,CIB,3.18,-0.17
846,3.8410,CIB,3.18,-0.56
659,3.8430,CIB,3.03,
849,3.8440,CIB,3.00,-0.04
846,3.8460,CIB,3.04,-0.31
846,3.8460,CIB,3.28,-0.40
659,3.8470,CIB,3.16,
849,3.8480,CIB,2.86,-0.03
846,3.8500,CIB,2.81,
659,3.8520,CIB,3.28,
659,3.8520,CIB,3.35,
849,3.8520,CIB,2.88,0.04
846,3.8540,CIB,2.68,
659,3.8550,CIB,3.27,
659,3.8560,CIB,3.15,
849,3.8560,CIB,2.93,0.07
659,3.8580,CIB,2.86,
846,3.8580,CIB,2.63,-0.19
849,3.8600,CIB,2.98,0.02
846,3.8610,CIB,2.62,-0.05
659,3.8620,CIB,2.85,
659,3.8640,CIB,2.96,
846,3.8640,CIB,2.98,-0.19
849,3.8640,CIB,2.98,-0.01
659,3.8680,CIB,2.80,
846,3.8680,CIB,2.70,-0.07
849,3.8680,CIB,2.93,-0.11
659,3.8720,CIB,2.78,
846,3.8720,CIB,2.75,-0.28
849,3.8720,CIB,2.95,-0.15
846,3.8760,CIB,2.99,-0.37
849,3.8760,CIB,3.13,-0.25
659,3.8780,CIB,3.22,
846,3.8790,CIB,3.02,-0.45
849,3.8800,CIB,3.27,-0.31
846,3.8830,CIB,3.13,-0.51
659,3.8840,CIB,3.04,
849,3.8840,CIB,3.36,-0.31
659,3.8850,CIB,3.05,
846,3.8870,CIB,3.14,-0.31
659,3.8880,CIB,3.11,
849,3.8880,CIB,3.20,-0.17
846,3.8910,CIB,2.83,-0.27
849,3.8920,CIB,3.13,-0.05
846,3.8940,CIB,2.86,-0.27
849,3.8960,CIB,3.10,-0.05
846,3.8970,CIB,3.02,-0.27
846,3.9000,CIB,2.72,
849,3.9000,CIB,3.03,-0.01
846,3.9020,CIB,2.97,-0.03
849,3.9040,CIB,3.01,0.03
846,3.9050,CIB,3.05,0.01
659,3.9060,CIB,2.96,
846,3.9080,CIB,2.95,0.01
849,3.9080,CIB,3.04,-0.01
846,3.9120,CIB,2.91,-0.10
849,3.9120,CIB,3.07,0.02
846,3.9150,CIB,2.97,-0.07
849,3.9160,CIB,3.04,-0.06
846,3.9180,CIB,2.86,-0.34
846,3.9180,CIB,2.86,
846,3.9200,CIB,2.85,-0.50
849,3.9200,CIB,3.06,-0.20
659,3.9210,CIB,2.96,
846,3.9210,CIB,2.85,-0.33
846,3.9230,CIB,2.91,-0.34
846,3.9230,CIB,3.15,-0.40
849,3.9240,CIB,3.36,-0.31
846,3.9250,CIB,2.97,-0.43
659,3.9270,CIB,3.21,
846,3.9270,CIB,3.06,-0.46
849,3.9280,CIB,3.39,-0.35
659,3.9290,CIB,3.19,
846,3.9290,CIB,3.00,-0.22
846,3.9310,CIB,2.89,-0.30
849,3.9320,CIB,3.24,-0.33
659,3.9330,CIB,3.16,
659,3.9340,CIB,2.99,
846,3.9350,CIB,2.86,-0.44
849,3.9360,CIB,3.10,-0.15
659,3.9380,CIB,2.94,
846,3.9380,CIB,2.74,-0.46
849,3.9400,CIB,3.01,-0.06
846,3.9410,CIB,2.73,-0.23
659,3.9420,CIB,2.73,
659,3.9430,CIB,2.58,
659,3.9440,CIB,2.93,
846,3.9440,CIB,3.11,-0.41
849,3.9440,CIB,2.98,-0.11
659,3.9460,CIB,3.15,
846,3.9470,CIB,3.03,-0.31
849,3.9480,CIB,2.96,-0.09
846,3.9490,CIB,3.10,-0.04
659,3.9500,CIB,3.17,
846,3.9520,CIB,3.03,-0.26
849,3.9520,CIB,3.02,-0.09
659,3.9530,CIB,2.95,
846,3.9540,CIB,2.78,-0.31
659,3.9560,CIB,2.89,
659,3.9560,CIB,3.03,
846,3.9560,CIB,2.88,
849,3.9560,CIB,3.12,-0.08
659,3.9580,CIB,3.01,
846,3.9590,CIB,3.05,-0.16
849,3.9600,CIB,3.15,0.04
846,3.9610,CIB,3.02,-0.21
659,3.9620,CIB,3.15,
846,3.9640,CIB,3.02,-0.07
849,3.9640,CIB,3.14,0.07
659,3.9660,CIB,3.37,
846,3.9660,CIB,3.04,-0.19
659,3.9670,CIB,3.22,
849,3.9680,CIB,3.16,0.07
659,3.9700,CIB,3.29,
846,3.9700,CIB,3.11,
849,3.9720,CIB,3.18,0.08
846,3.9730,CIB,3.02,
849,3.9760,CIB,3.15,0.04
659,3.9770,CIB,3.27,
846,3.9770,CIB,3.24,
846,3.9800,CIB,3.07,-0.27
849,3.9800,CIB,3.14,0.02
846,3.9820,CIB,3.38,
659,3.9830,CIB,3.32,
846,3.9840,CIB,3.23,-0.12
849,3.9840,CIB,3.15,-0.01
846,3.9870,CIB,3.16,
846,3.9880,CIB,3.32,
849,3.9880,CIB,3.19,-0.08
846,3.9900,CIB,3.19,-0.09
846,3.9920,CIB,3.39,-0.42
849,3.9920,CIB,3.24,-0.17
846,3.9940,CIB,3.66,
846,3.9960,CIB,3.55,
849,3.9960,CIB,3.29,-0.22
846,3.9990,CIB,3.38,
659,4.0000,CIB,3.49,
849,4.0000,CIB,3.31,-0.24
846,4.0010,CIB,3.44,
846,4.0030,CIB,2.91,-0.36
659,4.0040,CIB,3.29,
849,4.0040,CIB,3.30,-0.20
846,4.0050,CIB,3.22,
846,4.0070,CIB,3.38,
659,4.0080,CIB,3.13,
849,4.0080,CIB,3.24,-0.18
846,4.0090,CIB,3.15,0.13
846,4.0110,CIB,3.08,0.13
849,4.0120,CIB,3.16,-0.20
846,4.0130,CIB,2.92,-0.12
659,4.0140,CIB,3.15,
846,4.0160,CIB,2.83,-0.09
849,4.0160,CIB,3.12,-0.09
659,4.0200,CIB,3.17,
846,4.0200,CIB,3.10,
849,4.0200,CIB,3.15,-0.04
659,4.0210,CIB,3.01,
846,4.0230,CIB,3.12,-0.04
849,4.0240,CIB,3.18,-0.06
846,4.0270,CIB,2.94,-0.31
849,4.0280,CIB,3.22,-0.06
846,4.0300,CIB,3.05,
659,4.0310,CIB,2.43,
849,4.0320,CIB,3.28,-0.04
846,4.0340,CIB,3.27,
849,4.0360,CIB,3.22,-0.07
659,4.0370,CIB,2.55,
846,4.0370,CIB,3.41,
849,4.0400,CIB,3.23,-0.13
959,4.0400,CIB,2.89,0.61
846,4.0410,CIB,3.34,
659,4.0430,CIB,3.37,
846,4.0440,CIB,3.35,
849,4.0440,CIB,3.28,-0.18
659,4.0460,CIB,3.21,
846,4.0480,CIB,3.29,-0.08
849,4.0480,CIB,3.25,-0.10
659,4.0490,CIB,3.28,
846,4.0510,CIB,3.35,
849,4.0520,CIB,3.17,-0.05
659,4.0530,CIB,3.02,
959,4.0530,CIB,2.95,0.71
659,4.0550,CIB,3.11,
846,4.0550,CIB,3.13,
849,4.0560,CIB,3.11,0.05
846,4.0580,CIB,3.13,-0.15
849,4.0600,CIB,3.11,0.20
659,4.0620,CIB,3.21,
846,4.0620,CIB,2.98,-0.22
849,4.0640,CIB,3.11,0.23
846,4.0650,CIB,3.04,
659,4.0680,CIB,3.23,
849,4.0680,CIB,3.13,0.09
846,4.0690,CIB,2.93,
846,4.0720,CIB,3.06,
849,4.0720,CIB,3.14,0.06
846,4.0760,CIB,3.05,-0.22
849,4.0760,CIB,3.19,0.01
959,4.0760,CIB,2.89,0.65
846,4.0790,CIB,2.92,
849,4.0800,CIB,3.22,-0.06
659,4.0820,CIB,3.13,
846,4.0820,CIB,3.00,
849,4.0840,CIB,3.24,-0.11
659,4.0850,CIB,3.08,
846,4.0860,CIB,3.01,
849,4.0880,CIB,3.24,-0.10
959,4.0880,CIB,2.99,0.65
846,4.0890,CIB,3.13,
659,4.0910,CIB,3.20,
849,4.0920,CIB,3.18,-0.19
846,4.0930,CIB,3.20,
849,4.0960,CIB,3.21,-0.27
659,4.0970,CIB,2.87,
846,4.0980,CIB,3.10,
659,4.1000,CIB,3.08,
849,4.1000,CIB,3.20,-0.17
959,4.1010,CIB,2.82,0.68
846,4.1020,CIB,2.83,
849,4.1040,CIB,3.18,-0.15
659,4.1060,CIB,3.06,
846,4.1070,CIB,2.73,-0.31
849,4.1080,CIB,3.17,-0.19
846,4.1110,CIB,2.89,
849,4.1120,CIB,3.15,-0.19
959,4.1120,CIB,2.74,0.81
659,4.1130,CIB,2.76,
846,4.1140,CIB,2.92,
849,4.1160,CIB,3.12,-0.23
846,4.1170,CIB,2.96,-0.15
959,4.1170,CIB,2.80,0.68
659,4.1200,CIB,3.13,
846,4.1200,CIB,3.03,
849,4.1200,CIB,3.09,-0.20
846,4.1220,CIB,3.02,0.01
659,4.1230,CIB,2.85,
846,4.1240,CIB,3.08,
849,4.1240,CIB,3.15,-0.08
659,4.1260,CIB,2.37,
846,4.1260,CIB,2.75,-0.08
846,4.1280,CIB,2.79,
849,4.1280,CIB,3.22,-0.02
846,4.1300,CIB,3.05,0.07
959,4.1300,CIB,2.89,0.88
659,4.1310,CIB,2.79,
846,4.1320,CIB,2.99,
849,4.1320,CIB,3.08,0.01
659,4.1330,CIB,2.60,
659,4.1340,CIB,2.88,
846,4.1350,CIB,2.94,
849,4.1360,CIB,2.87,0.03
659,4.1370,CIB,3.19,
846,4.1370,CIB,2.92,
659,4.1380,CIB,2.89,
846,4.1400,CIB,3.11,-0.56
849,4.1400,CIB,2.90,-0.02
659,4.1410,CIB,3.04,
959,4.1420,CIB,2.91,0.56
846,4.1430,CIB,3.15,
659,4.1440,CIB,2.88,
849,4.1440,CIB,3.06,-0.05
846,4.1460,CIB,3.16,
659,4.1480,CIB,2.89,
849,4.1480,CIB,3.31,-0.07
659,4.1490,CIB,3.16,
846,4.1490,CIB,3.08,-0.31
849,4.1520,CIB,3.38,-0.09
846,4.1530,CIB,2.74,-0.94
659,4.1540,CIB,2.91,
959,4.1540,CIB,3.45,1.12
849,4.1560,CIB,3.20,-0.03
659,4.1570,CIB,2.88,
846,4.1570,CIB,2.76,
659,4.1590,CIB,3.29,
849,4.1600,CIB,3.12,-0.01
659,4.1610,CIB,3.30,
846,4.1620,CIB,2.78,
659,4.1630,CIB,3.17,
849,4.1640,CIB,3.17,-0.04
659,4.1670,CIB,2.87,
846,4.1670,CIB,2.85,
849,4.1680,CIB,3.21,-0.05
659,4.1690,CIB,3.03,
846,4.1720,CIB,2.92,
849,4.1720,CIB,3.09,0.02
659,4.1750,CIB,3.00,
659,4.1750,CIB,3.07,
846,4.1750,CIB,2.78,
849,4.1760,CIB,3.02,0.04
959,4.1770,CIB,2.91,0.61
846,4.1790,CIB,2.99,-0.39
659,4.1800,CIB,2.86,
849,4.1800,CIB,3.09,-0.01
846,4.1810,CIB,2.82,-0.34
846,4.1830,CIB,2.90,
849,4.1840,CIB,3.09,-0.01
846,4.1850,CIB,2.86,-0.17
846,4.1870,CIB,3.02,-0.84
849,4.1880,CIB,3.09,0.05
659,4.1890,CIB,2.89,
959,4.1890,CIB,2.96,0.85
846,4.1900,CIB,2.89,-0.36
849,4.1920,CIB,3.09,0.10
659,4.1930,CIB,2.95,
846,4.1930,CIB,2.89,
849,4.1960,CIB,3.04,0.01
659,4.1970,CIB,2.87,
846,4.1980,CIB,2.98,-0.30
849,4.2000,CIB,3.07,-0.08
959,4.2000,CIB,2.85,0.79
659,4.2020,CIB,2.99,
659,4.2040,CIB,3.02,
849,4.2040,CIB,3.09,-0.18
659,4.2060,CIB,2.87,
846,4.2060,CIB,2.40,-0.37
846,4.2060,CIB,2.79,
959,4.2060,CIB,3.08,0.59
849,4.2080,CIB,3.02,-0.26
846,4.2100,CIB,3.07,
849,4.2120,CIB,3.04,-0.29
846,4.2130,CIB,2.89,-0.67
846,4.2160,CIB,3.25,-0.17
849,4.2160,CIB,3.10,-0.25
659,4.2170,CIB,2.99,
959,4.2170,CIB,2.82,0.70
659,4.2180,CIB,2.91,
846,4.2190,CIB,2.82,-0.22
849,4.2200,CIB,3.08,-0.13
846,4.2210,CIB,2.85,
659,4.2220,CIB,2.82,
846,4.2240,CIB,2.83,
849,4.2240,CIB,3.05,-0.13
659,4.2260,CIB,2.85,
846,4.2260,CIB,2.89,
959,4.2270,CIB,2.88,0.81
659,4.2280,CIB,3.19,
849,4.2280,CIB,3.03,-0.23
846,4.2290,CIB,2.94,-0.11
659,4.2320,CIB,3.02,
659,4.2320,CIB,3.26,
849,4.2320,CIB,3.01,-0.28
846,4.2330,CIB,3.16,-0.41
659,4.2350,CIB,3.01,
849,4.2360,CIB,3.09,-0.17
846,4.2370,CIB,3.14,
959,4.2370,CIB,2.81,0.75
659,4.2380,CIB,3.09,
849,4.2400,CIB,3.14,-0.08
846,4.2410,CIB,3.03,
849,4.2440,CIB,3.12,-0.14
659,4.2450,CIB,2.84,
846,4.2450,CIB,2.86,-1.02
846,4.2470,CIB,2.86,-0.31
659,4.2480,CIB,2.87,
849,4.2480,CIB,3.12,-0.23
959,4.2480,CIB,2.76,0.99
659,4.2490,CIB,2.85,
846,4.2490,CIB,3.08,-0.44
659,4.2510,CIB,2.79,
846,4.2510,CIB,3.04,-0.49
849,4.2520,CIB,3.16,-0.27
846,4.2540,CIB,3.31,
659,4.2560,CIB,2.61,
846,4.2560,CIB,3.34,
849,4.2560,CIB,3.26,-0.29
659,4.2570,CIB,3.13,
659,4.2580,CIB,3.08,
959,4.2580,CIB,2.60,0.85
846,4.2590,CIB,3.05,-0.28
849,4.2600,CIB,3.32,-0.27
846,4.2610,CIB,3.16,
659,4.2630,CIB,3.06,
846,4.2630,CIB,3.16,
849,4.2640,CIB,3.31,-0.24
846,4.2660,CIB,3.07,
659,4.2670,CIB,3.00,
846,4.2670,CIB,3.15,
849,4.2680,CIB,3.14,-0.08
959,4.2690,CIB,2.95,0.78
846,4.2700,CIB,2.85,
659,4.2710,CIB,2.95,
849,4.2720,CIB,3.08,-0.02
846,4.2730,CIB,2.81,-0.19
846,4.2730,CIB,2.82,
659,4.2740,CIB,2.95,
849,4.2760,CIB,3.10,-0.04
846,4.2780,CIB,2.69,
959,4.2790,CIB,2.70,0.67
588,4.2795,CIB,2.61,0.75
849,4.2800,CIB,3.14,0.02
659,4.2810,CIB,3.17,
849,4.2840,CIB,3.08,0.03
659,4.2850,CIB,3.11,
846,4.2850,CIB,3.01,-0.17
846,4.2880,CIB,3.25,
849,4.2880,CIB,2.89,0.01
959,4.2900,CIB,2.91,0.50
659,4.2910,CIB,2.97,
846,4.2910,CIB,3.03,-0.24
849,4.2920,CIB,2.78,0.02
846,4.2940,CIB,3.01,
959,4.2940,CIB,3.01,0.57
849,4.2960,CIB,2.91,-0.06
846,4.2980,CIB,2.93,
659,4.3000,CIB,2.83,
849,4.3000,CIB,2.95,-0.10
846,4.3020,CIB,2.86,
849,4.3040,CIB,3.00,-0.16
659,4.3050,CIB,2.82,
659,4.3060,CIB,3.13,
846,4.3070,CIB,3.15,
849,4.3080,CIB,3.09,-0.21
846,4.3110,CIB,3.10,
849,4.3120,CIB,3.05,-0.15
846,4.3150,CIB,2.86,
659,4.3160,CIB,2.61,
849,4.3160,CIB,2.89,-0.08
959,4.3160,CIB,2.93,0.61
659,4.3190,CIB,2.79,
846,4.3190,CIB,2.70,-0.38
849,4.3200,CIB,2.88,-0.13
846,4.3210,CIB,2.74,-0.22
659,4.3220,CIB,2.96,
846,4.3230,CIB,2.59,-0.26
849,4.3240,CIB,2.98,-0.20
846,4.3250,CIB,2.80,-0.76
959,4.3260,CIB,2.67,0.57
846,4.3270,CIB,3.23,
659,4.3280,CIB,3.14,
849,4.3280,CIB,2.95,-0.16
846,4.3290,CIB,2.81,-0.67
846,4.3310,CIB,2.57,-0.42
659,4.3320,CIB,2.97,
849,4.3320,CIB,2.95,-0.07
846,4.3330,CIB,2.75,-0.08
846,4.3350,CIB,2.85,-0.37
659,4.3360,CIB,2.65,
849,4.3360,CIB,3.03,-0.01
959,4.3360,CIB,2.84,0.60
846,4.3370,CIB,2.92,-0.35
846,4.3380,CIB,2.58,
849,4.3400,CIB,2.98,-0.03
846,4.3410,CIB,3.05,
849,4.3440,CIB,3.03,-0.14
846,4.3450,CIB,2.85,
659,4.3460,CIB,2.77,
959,4.3470,CIB,2.86,0.46
846,4.3480,CIB,3.20,-0.18
849,4.3480,CIB,3.10,-0.26
659,4.3500,CIB,3.00,
846,4.3510,CIB,3.03,-0.09
849,4.3520,CIB,3.10,-0.24
659,4.3530,CIB,2.92,
846,4.3550,CIB,2.93,-0.13
659,4.3560,CIB,3.37,
659,4.3560,CIB,3.39,
849,4.3560,CIB,3.07,-0.13
846,4.3580,CIB,2.99,-0.21
659,4.3600,CIB,2.99,
849,4.3600,CIB,3.03,-0.16
846,4.3610,CIB,3.06,0.01
588,4.3628,,2.71,0.81
846,4.3640,CIB,3.04,-0.12
849,4.3640,CIB,3.01,-0.36
846,4.3670,CIB,2.91,
849,4.3680,CIB,2.90,-0.34
846,4.3690,CIB,2.84,
659,4.3720,CIB,2.76,
846,4.3720,CIB,2.92,
849,4.3720,CIB,2.79,-0.33
659,4.3740,CIB,2.45,
846,4.3750,CIB,3.18,
849,4.3760,CIB,2.68,-0.27
659,4.3770,CIB,3.14,
846,4.3770,CIB,3.00,-0.11
659,4.3800,CIB,3.08,
846,4.3800,CIB,3.00,-0.18
849,4.3800,CIB,2.76,-0.30
846,4.3830,CIB,3.18,-0.55
659,4.3840,CIB,3.11,
849,4.3840,CIB,2.98,-0.34
846,4.3850,CIB,3.01,
846,4.3880,CIB,3.21,0.11
849,4.3880,CIB,3.12,-0.21
659,4.3900,CIB,3.02,
846,4.3900,CIB,2.98,-0.59
849,4.3920,CIB,3.14,-0.05
659,4.3930,CIB,2.88,
846,4.3930,CIB,2.86,-0.28
659,4.3960,CIB,3.04,
846,4.3960,CIB,2.97,0.00
849,4.3960,CIB,3.11,0.01
659,4.3980,CIB,2.89,
846,4.3980,CIB,3.19,-0.69
659,4.4000,CIB,2.98,
659,4.4000,CIB,3.22,
849,4.4000,CIB,3.08,-0.02
846,4.4010,CIB,3.08,
659,4.4040,CIB,2.71,
846,4.4040,CIB,2.98,
849,4.4040,CIB,3.11,0.01
846,4.4060,CIB,2.83,0.04
849,4.4080,CIB,3.15,0.06
846,4.4090,CIB,2.89,-0.16
846,4.4120,CIB,3.04,
849,4.4120,CIB,3.08,0.01
659,4.4130,CIB,2.94,
846,4.4150,CIB,2.70,-0.86
959,4.4150,CIB,3.00,-0.02
849,4.4160,CIB,2.95,-0.05
846,4.4180,CIB,2.95,-0.21
659,4.4190,CIB,3.09,
849,4.4200,CIB,2.94,-0.03
846,4.4210,CIB,3.27,-0.30
846,4.4240,CIB,2.90,-0.28
659,4.4250,CIB,3.20,
959,4.4250,CIB,2.88,0.24
846,4.4280,CIB,3.00,-0.13
659,4.4310,CIB,2.92,
846,4.4310,CIB,2.64,-0.26
846,4.4340,CIB,2.93,-0.22
959,4.4350,CIB,2.87,0.53
846,4.4380,CIB,2.88,-0.25
659,4.4390,CIB,2.86,
959,4.4400,CIB,2.86,-0.20
846,4.4410,CIB,2.65,-0.35
846,4.4440,CIB,2.85,-0.61
846,4.4470,CIB,3.12,
659,4.4490,CIB,3.13,
846,4.4500,CIB,3.00,-0.15
846,4.4530,CIB,2.52,-1.01
659,4.4540,CIB,2.95,
846,4.4570,CIB,2.81,-0.53
588,4.4578,,2.57,0.70
659,4.4610,CIB,3.07,
659,4.4610,CIB,3.13,
846,4.4610,CIB,2.88,-0.17
959,4.4610,CIB,3.03,0.57
846,4.4640,CIB,2.80,-0.05
659,4.4660,CIB,3.58,
846,4.4670,CIB,2.82,-0.28
659,4.4700,CIB,2.87,
846,4.4710,CIB,2.67,-0.26
959,4.4710,CIB,3.10,0.14
659,4.4730,CIB,2.91,
846,4.4740,CIB,2.69,-0.25
659,4.4760,CIB,3.12,
846,4.4780,CIB,2.82,-0.10
659,4.4800,CIB,2.95,
846,4.4810,CIB,2.84,-0.59
959,4.4820,CIB,3.07,0.60
846,4.4850,CIB,2.64,-0.42
659,4.4870,CIB,3.02,
846,4.4890,CIB,2.90,-0.01
659,4.4920,CIB,3.10,
846,4.4920,CIB,2.84,
959,4.4920,CIB,2.90,0.57
846,4.4940,CIB,2.91,
846,4.4960,CIB,2.88,-0.73
959,4.4970,CIB,2.82,0.60
659,4.4980,CIB,3.23,
846,4.4980,CIB,3.11,-0.33
846,4.5000,CIB,2.93,-0.52
659,4.5020,CIB,3.26,
846,4.5020,CIB,2.68,-0.22
959,4.5030,CIB,3.14,0.43
846,4.5040,CIB,2.94,-0.48
846,4.5060,CIB,2.95,-0.40
846,4.5090,CIB,2.72,-0.81
846,4.5110,CIB,3.16,
659,4.5140,CIB,2.92,
846,4.5140,CIB,3.26,
846,4.5150,CIB,3.12,
846,4.5170,CIB,3.31,-0.23
959,4.5180,CIB,2.91,0.55
846,4.5190,CIB,3.15,
846,4.5210,CIB,3.13,-0.25
846,4.5230,CIB,2.91,-0.72
659,4.5240,CIB,2.64,
846,4.5260,CIB,2.87,-0.57
846,4.5280,CIB,2.99,-0.37
959,4.5280,CIB,3.16,0.21
846,4.5290,CIB,2.79,-0.48
846,4.5300,CIB,2.78,-0.53
846,4.5310,CIB,2.87,-0.49
846,4.5320,CIB,2.96,-0.43
849,4.5320,CIB,3.08,-0.06
846,4.5330,CIB,2.93,-0.36
846,4.5350,CIB,2.93,-0.29
849,4.5360,CIB,3.08,-0.05
846,4.5370,CIB,2.93,-0.33
659,4.5390,CIB,3.27,
959,4.5390,CIB,3.06,0.64
846,4.5400,CIB,2.94,-0.33
849,4.5400,CIB,3.12,-0.04
846,4.5410,CIB,3.11,-0.33
846,4.5430,CIB,2.88,-0.61
849,4.5440,CIB,3.19,-0.14
846,4.5450,CIB,2.98,-0.39
846,4.5470,CIB,2.96,-0.51
849,4.5480,CIB,3.23,-0.23
846,4.5490,CIB,3.05,-0.51
846,4.5510,CIB,2.96,-0.30
659,4.5520,CIB,3.13,
849,4.5520,CIB,3.26,-0.19
846,4.5530,CIB,3.29,-0.17
846,4.5550,CIB,3.20,-0.13
849,4.5560,CIB,3.26,-0.09
659,4.5570,CIB,3.03,
846,4.5570,CIB,3.43,
846,4.5590,CIB,3.07,-0.43
846,4.5590,CIB,3.31,-0.52
849,4.5600,CIB,3.24,-0.06
846,4.5610,CIB,3.26,
659,4.5630,CIB,3.02,
846,4.5630,CIB,3.15,-0.42
849,4.5640,CIB,3.20,-0.07
846,4.5650,CIB,3.09,-0.39
659,4.5680,CIB,2.88,
846,4.5680,CIB,2.97,-0.54
849,4.5680,CIB,3.15,-0.03
846,4.5700,CIB,3.07,-0.35
659,4.5710,CIB,3.07,
846,4.5710,CIB,3.16,
849,4.5720,CIB,3.16,-0.05
846,4.5730,CIB,3.09,-0.56
846,4.5750,CIB,3.05,-0.69
849,4.5760,CIB,3.17,-0.09
959,4.5760,CIB,2.91,0.69
959,4.5760,CIB,3.12,0.25
659,4.5780,CIB,2.96,
846,4.5780,CIB,2.98,-0.82
849,4.5800,CIB,3.27,-0.04
846,4.5810,CIB,3.05,-0.89
959,4.5810,CIB,2.93,0.78
659,4.5830,CIB,2.93,
846,4.5830,CIB,2.99,-0.71
849,4.5840,CIB,3.27,-0.02
846,4.5850,CIB,2.87,-0.64
959,4.5860,CIB,2.77,0.51
846,4.5870,CIB,3.08,-0.61
849,4.5880,CIB,3.13,-0.11
659,4.5890,CIB,3.17,
846,4.5890,CIB,3.00,
846,4.5910,CIB,3.07,-0.61
846,4.5920,CIB,3.08,-1.13
849,4.5920,CIB,3.12,-0.25
846,4.5940,CIB,3.23,-0.66
659,4.5950,CIB,3.07,
846,4.5950,CIB,3.29,-0.72
849,4.5960,CIB,3.17,-0.36
959,4.5960,CIB,3.22,0.16
846,4.5970,CIB,3.05,-0.89
846,4.5980,CIB,3.50,
846,4.6000,CIB,3.05,-0.57
849,4.6000,CIB,3.27,-0.36
659,4.6010,CIB,2.99,
846,4.6020,CIB,3.19,-0.53
846,4.6040,CIB,2.99,-0.42
849,4.6040,CIB,3.35,-0.35
659,4.6060,CIB,3.01,
846,4.6060,CIB,2.79,-0.62
846,4.6070,CIB,3.09,-0.38
959,4.6070,CIB,3.26,0.36
849,4.6080,CIB,3.33,-0.24
846,4.6090,CIB,3.19,
846,4.6110,CIB,3.03,-0.42
659,4.6120,CIB,2.89,
849,4.6120,CIB,3.29,-0.12
846,4.6130,CIB,3.37,
846,4.6140,CIB,3.02,-0.39
846,4.6160,CIB,3.23,-0.38
849,4.6160,CIB,3.22,-0.14
959,4.6170,CIB,3.23,0.57
659,4.6180,CIB,2.96,
846,4.6180,CIB,3.11,-0.45
846,4.6190,CIB,2.88,-0.64
849,4.6200,CIB,3.19,-0.21
846,4.6210,CIB,3.03,-0.51
846,4.6230,CIB,2.79,-0.57
849,4.6240,CIB,3.22,-0.28
846,4.6250,CIB,2.87,-0.77
846,4.6260,CIB,2.90,-0.68
659,4.6270,CIB,2.98,
846,4.6280,CIB,2.94,-0.73
849,4.6280,CIB,3.23,-0.29
959,4.6280,CIB,2.72,0.55
846,4.6310,CIB,3.23,-0.89
849,4.6320,CIB,3.21,-0.26
659,4.6330,CIB,3.01,
846,4.6330,CIB,3.23,-0.57
659,4.6350,CIB,3.12,
846,4.6360,CIB,3.13,-0.51
849,4.6360,CIB,3.22,-0.23
659,4.6370,CIB,3.11,
846,4.6380,CIB,3.06,-0.52
959,4.6390,CIB,2.67,0.62
846,4.6400,CIB,2.99,-0.43
849,4.6400,CIB,3.28,-0.29
659,4.6410,CIB,3.17,
846,4.6430,CIB,2.93,-0.41
849,4.6440,CIB,3.32,-0.32
846,4.6450,CIB,2.99,-0.32
846,4.6480,CIB,2.89,-0.63
849,4.6480,CIB,3.34,-0.27
959,4.6480,CIB,2.95,0.57
846,4.6510,CIB,2.84,-0.39
849,4.6520,CIB,3.33,-0.25
846,4.6540,CIB,2.95,-0.31
959,4.6540,CIB,3.42,0.29
659,4.6560,CIB,3.03,
849,4.6560,CIB,3.25,-0.30
846,4.6570,CIB,2.84,-0.75
659,4.6590,CIB,2.97,
849,4.6600,CIB,3.15,-0.29
846,4.6630,CIB,2.74,-0.46
849,4.6640,CIB,3.10,-0.32
959,4.6640,CIB,2.99,0.34
659,4.6650,CIB,3.06,
659,4.6670,CIB,3.11,
