GEO_ID	NAME	B23006_001E	B23006_001M	B23006_002E	B23006_002M	B23006_003E	B23006_003M	B23006_004E	B23006_004M	B23006_005E	B23006_005M	B23006_006E	B23006_006M	B23006_007E	B23006_007M	B23006_008E	B23006_008M	B23006_009E	B23006_009M	B23006_010E	B23006_010M	B23006_011E	B23006_011M	B23006_012E	B23006_012M	B23006_013E	B23006_013M	B23006_014E	B23006_014M	B23006_015E	B23006_015M	B23006_016E	B23006_016M	B23006_017E	B23006_017M	B23006_018E	B23006_018M	B23006_019E	B23006_019M	B23006_020E	B23006_020M	B23006_021E	B23006_021M	B23006_022E	B23006_022M	B23006_023E	B23006_023M	B23006_024E	B23006_024M	B23006_025E	B23006_025M	B23006_026E	B23006_026M	B23006_027E	B23006_027M	B23006_028E	B23006_028M	B23006_029E	B23006_029M
310M400US41780	Sandusky, OH Micro Area	37835	794	3046	1262	2086	1118	0	195	2086	1118	1970	1118	116	182	960	655	12042	1589	9003	1374	0	195	9003	1374	8606	1254	397	396	3039	891	13378	1880	11491	1639	0	195	11491	1639	11410	1643	81	152	1887	772	9369	1878	7166	1580	0	195	7166	1580	7036	1565	130	172	2203	900
310M400US45820	Topeka, KS Metro Area	114561	1250	9612	1585	5736	1135	0	177	5736	1135	5363	1080	373	238	3876	1075	34121	2311	24797	2033	0	177	24797	2033	23585	1924	1212	650	9324	1455	36526	2967	29507	2507	275	267	29232	2541	28249	2542	983	514	7019	1165	34302	2523	30518	2402	56	94	30462	2407	30124	2407	338	258	3784	811
310M400US49700	Yuba City, CA Metro Area	89059	1306	17283	2192	9397	1666	0	211	9397	1666	7635	1631	1762	783	7886	1661	20215	2217	14800	2062	129	148	14671	2056	14120	2067	551	345	5415	1146	37142	3019	26748	2757	702	430	26046	2745	24131	2590	1915	825	10394	1596	14419	2046	12392	1914	397	337	11995	1856	11718	1849	277	213	2027	745
310M400US18580	Corpus Christi, TX Metro Area	229840	1919	32895	3206	21105	2522	0	228	21105	2522	19656	2304	1449	702	11790	1853	69622	4068	50915	3744	33	40	50882	3739	48408	3451	2474	1094	18707	2202	79809	3938	63667	3809	258	241	63409	3780	59845	3420	3564	1163	16142	2420	47514	3529	40469	3446	352	276	40117	3425	39261	3530	856	525	7045	1509
310M400US37460	Panama City, FL Metro Area	107554	2277	10113	1736	5263	1381	0	229	5263	1381	4830	1336	433	371	4850	1084	35420	3188	25431	2776	363	302	25068	2774	23166	2585	1902	1027	9989	1841	38354	2818	28958	2557	1069	520	27889	2654	27097	2609	792	530	9396	1649	23667	2343	19451	2205	1022	514	18429	2208	18073	2157	356	299	4216	1098
310M400US26300	Hot Springs, AR Metro Area	48501	1133	3930	1266	2046	885	0	201	2046	885	1821	932	225	364	1884	748	16793	2453	10721	1960	0	201	10721	1960	10300	1963	421	439	6072	1170	18291	1992	13075	1774	0	201	13075	1774	12890	1782	185	228	5216	1269	9487	1903	7709	1642	0	201	7709	1642	7639	1650	70	120	1778	735
310M400US36300	Ogdensburg-Massena, NY Micro Area	53023	730	4305	733	1734	437	0	201	1734	437	1521	444	213	147	2571	582	19396	1679	12255	1449	0	201	12255	1449	11873	1453	382	201	7141	1080	15738	1623	11962	1514	0	201	11962	1514	11458	1433	504	250	3776	674	13584	1608	11907	1355	0	201	11907	1355	11658	1342	249	171	1677	626
310M400US39380	Pueblo, CO Metro Area	84250	629	7779	1558	3620	1094	0	204	3620	1094	3113	1007	507	398	4159	1132	23817	2175	15763	2003	0	204	15763	2003	15080	1951	683	293	8054	1223	34754	2536	26244	2317	0	204	26244	2317	25291	2260	953	590	8510	1758	17900	1786	14484	1710	0	204	14484	1710	14170	1716	314	208	3416	847
310M400US18260	Cookeville, TN Micro Area	54637	1495	3971	1232	2039	930	0	211	2039	930	1803	879	236	267	1932	825	23654	2424	16965	2522	0	211	16965	2522	16611	2496	354	305	6689	1419	14589	1704	11732	1709	0	211	11732	1709	11533	1735	199	168	2857	868	12423	1886	10542	1627	70	119	10472	1621	10205	1661	267	205	1881	809
310M400US41180	St. Louis, MO-IL Metro Area	1487582	2821	96329	5773	52951	4057	0	198	52951	4057	47114	3963	5837	1633	43378	4432	349514	10076	256342	9780	221	218	256121	9759	241519	9293	14602	2275	93172	5597	490277	9129	397773	8690	875	456	396898	8824	383002	8440	13896	2091	92504	4615	551462	11146	488556	10349	2535	835	486021	10344	475997	10033	10024	1566	62906	3746
