STATION,STATION_NAME,DATE,EMXT,EMNT
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19751201,150,-194
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19760101,50,-278
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19760201,156,-289
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19760301,244,-117
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19760401,283,-50
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19760501,289,-22
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19760601,350,39
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19760701,400,72
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19760801,344,44
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19760901,328,-33
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19761001,322,-94
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19761101,167,-211
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19761201,100,-272
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19770101,-17,-300
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19770201,122,-283
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19770301,211,-117
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19770401,306,-67
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19770501,322,-44
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19770601,339,11
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19770701,389,72
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19770801,322,33
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19770901,278,44
